4 100 40
13 12 13 12
13 534 13 810
21 1198 21 1441
29 461 7 566
20 716 25 776
16 1056 16 1321
25 1076 25 1271
15 442 7 530
28 595 28 814
10 887 10 1171
28 458 36 516
25 444 25 693
20 629 20 906
25 592 37 615
30 836 30 1133
24 654 6 720
39 887 39 1092
20 743 20 950
27 686 27 892
6 529 6 773
19 656 36 698
24 1167 24 1426
30 444 20 504
38 449 38 665
36 584 36 815
33 1021 33 1242
22 1073 22 1287
11 815 31 844
35 731 21 787
32 491 32 690
14 896 18 951
38 446 38 699
24 975 20 1011
8 619 32 667
35 1115 35 1331
7 1164 7 1399
39 650 39 922
19 475 32 534
19 720 27 794
37 544 24 582
29 594 29 878
39 305 39 506
9 468 26 502
19 565 19 773
35 302 35 489
24 1067 24 1105
20 856 20 1084
25 1188 25 1409
26 908 26 1163
37 478 37 754
35 459 36 513
11 1095 11 1348
31 380 31 604
8 1014 28 1088
37 1188 37 1389
36 500 36 775
34 956 13 1036
17 972 17 1217
20 1023 20 1264
15 798 13 852
24 1044 24 1273
5 761 5 996
27 910 36 976
27 730 27 983
37 363 37 559
18 824 18 1079
23 435 31 468
7 955 27 1002
11 445 9 507
17 303 17 589
19 494 19 710
18 448 18 735
23 573 23 802
7 1183 7 1397
15 527 9 583
13 308 13 598
35 708 35 976
28 662 11 722
21 1113 21 1336
34 879 33 926
33 832 33 1107
34 1027 34 1217
16 394 16 692
16 729 16 1024
11 452 33 528
28 603 28 856
15 757 15 1044
34 434 14 490
39 462 12 491
17 1072 27 1113
22 358 22 600
24 555 24 760
16 739 20 817
36 1155 36 1447
31 490 31 704
19 849 19 1111
26 986 32 1063
37 597 27 634
5 591 8 645
32 585 32 870
10 972 10 1232
0 85 60 60 44 61 71 15 48 29 51 53 21 60 68 54 54 16 27 69 71 78 24 67 47 40 19 34 18 79 66 57 58 41 72 58 58 29 47 33
85 0 60 60 44 43 15 74 38 57 51 55 65 60 21 45 44 70 59 21 16 8 67 23 43 46 67 55 70 9 26 42 61 49 16 42 31 59 40 54
60 60 0 85 36 72 53 47 43 49 70 75 50 84 57 68 67 52 47 41 47 55 60 59 28 37 52 34 58 60 61 68 2 30 46 20 56 37 35 38
60 60 85 0 50 19 49 59 44 41 16 10 46 2 42 19 20 50 45 59 56 57 38 39 58 49 47 55 44 53 36 21 84 56 58 68 35 55 51 50
44 44 36 50 0 38 30 31 9 19 34 40 24 49 29 33 32 29 19 25 29 36 31 30 9 4 26 12 32 39 30 33 34 8 29 20 24 16 4 11
61 43 72 19 38 0 31 56 30 36 12 14 43 18 24 8 8 47 39 42 38 39 38 21 45 37 44 45 44 35 18 6 71 44 41 54 18 47 37 41
71 15 53 49 30 31 0 59 23 42 38 43 50 48 8 32 31 55 44 14 8 9 52 11 31 32 52 41 55 9 14 30 52 36 10 33 17 45 26 40
15 74 47 59 31 56 59 0 37 21 47 50 14 58 57 49 49 10 17 56 59 67 22 57 34 28 13 20 17 68 57 51 45 27 60 44 49 15 34 20
48 38 43 44 9 30 23 37 0 20 29 34 28 43 22 26 25 32 22 23 24 31 31 22 15 10 30 19 34 32 23 25 41 16 26 25 16 23 8 17
29 57 49 41 19 36 42 21 20 0 27 32 9 40 39 29 28 14 5 42 44 50 12 38 26 16 10 16 14 51 37 31 48 20 45 38 30 15 22 12
51 51 70 16 34 12 38 47 29 27 0 6 34 15 31 6 7 38 31 45 44 46 27 28 42 33 34 39 33 43 25 9 68 40 46 53 22 40 35 35
53 55 75 10 40 14 43 50 34 32 6 0 37 9 36 11 12 41 36 51 49 51 30 33 48 39 38 45 36 47 30 14 74 46 51 59 27 45 41 40
21 65 50 46 24 43 50 14 28 9 34 37 0 45 47 36 36 5 6 49 51 58 11 46 30 21 3 18 9 59 45 38 48 24 52 42 38 14 28 15
60 60 84 2 49 18 48 58 43 40 15 9 45 0 41 17 18 48 44 58 55 56 37 38 56 47 46 53 43 51 35 19 83 54 57 67 33 54 49 49
68 21 57 42 29 24 8 57 22 39 31 36 47 41 0 26 25 52 42 20 15 16 47 4 33 31 49 40 51 13 7 22 56 36 17 37 11 44 27 38
54 45 68 19 33 8 32 49 26 29 6 11 36 17 26 0 1 40 33 41 39 41 31 23 40 32 37 39 36 37 20 4 67 39 41 50 17 41 33 35
