Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;0;1000;0;0;0;240;240;0;0.0;0
1;387;1;30;59;10;263;286;23;9.0;5
2;245;1;11;31;91;264;294;30;12.0;24
3;34;1;7;59;89;265;288;23;9.0;4
4;344;3;27;59;70;267;300;33;15.5;19
5;524;1;43;31;64;269;289;20;8.0;0
6;117;1;10;31;91;275;295;20;8.9;6
7;321;1;13;59;43;277;306;29;13.0;4
8;389;3;30;59;10;283;306;23;9.0;1
9;295;1;12;18;24;283;305;22;10.5;3
10;247;3;11;31;91;285;315;30;12.0;28
11;343;2;27;70;59;285;318;33;15.5;51
12;346;5;27;59;70;287;320;33;15.5;12
13;526;3;43;31;64;289;309;20;8.0;6
14;36;3;7;59;39;290;316;26;10.2;12
15;388;2;30;10;56;291;307;16;7.3;19
16;525;2;43;64;31;293;313;20;7.5;4
17;35;2;7;85;59;293;315;22;8.9;26
18;391;5;30;59;10;298;321;23;9.0;18
19;246;2;11;91;31;299;326;27;11.8;44
20;615;1;62;5;5;300;334;34;13.8;35
21;118;2;10;91;31;300;320;20;9.2;9
22;636;1;70;59;91;302;322;20;9.0;22
23;345;4;27;70;59;305;338;33;15.5;101
24;119;3;10;31;91;305;325;20;8.9;7
25;249;5;11;31;101;305;340;35;14.0;85
26;528;5;43;31;64;309;329;20;8.0;9
27;121;5;10;31;101;310;335;25;10.9;49
28;296;2;12;24;56;310;334;24;10.8;99
29;116;27;9;31;103;310;345;35;17.0;100
30;390;4;30;10;59;311;332;21;8.5;19
31;322;2;13;43;56;311;342;31;14.6;70
32;393;7;30;59;10;313;336;23;9.0;7
33;527;4;43;64;31;313;333;20;7.5;24
34;38;5;7;59;39;314;340;26;10.2;38
35;583;1;52;69;29;315;330;15;6.9;9
36;348;7;27;59;70;317;350;33;15.5;32
37;638;3;70;59;91;317;337;20;9.0;20
38;123;7;10;31;91;319;345;26;12.2;19
39;616;3;62;5;5;320;354;34;13.8;41
40;37;4;7;39;59;320;348;28;12.9;67
41;14;14;1;108;91;320;323;3;1.1;100
42;4;4;1;91;102;323;345;22;14.5;100
43;248;4;11;91;31;323;350;27;11.8;152
44;347;6;27;70;59;325;358;33;15.5;26
45;2;2;1;10;102;325;345;20;10.7;100
46;637;2;70;91;93;327;349;22;9.9;18
47;323;3;13;59;43;329;366;37;16.0;16
48;530;7;43;31;64;329;349;20;8.0;64
49;40;7;7;59;39;329;355;26;10.2;17
50;17;18;1;11;102;330;345;15;7.6;100
51;120;4;10;91;31;330;354;24;12.0;30
52;6;6;1;29;102;330;345;15;8.3;100
53;18;3;2;31;26;331;349;18;6.0;100
54;392;6;30;10;59;331;351;20;8.5;22
55;640;5;70;59;91;332;352;20;9.0;26
56;108;17;9;109;103;332;346;14;7.4;100
57;529;6;43;64;31;333;356;23;8.5;34
58;395;9;30;18;10;333;351;18;7.5;8
59;584;2;52;29;69;335;354;19;10.5;32
60;585;3;52;18;44;335;350;15;5.5;10
61;122;6;10;91;31;335;355;20;9.2;31
62;350;9;27;59;70;337;370;33;15.5;15
63;125;9;10;31;91;340;360;20;8.9;23
64;394;8;30;10;56;341;357;16;7.3;41
65;639;4;70;91;56;342;357;15;7.8;6
66;397;11;30;59;10;343;366;23;9.0;6
67;297;3;12;18;24;343;365;22;10.5;3
68;42;9;7;59;39;344;370;26;10.2;18
69;39;6;7;39;59;344;369;25;10.1;56
70;124;8;10;101;31;345;370;25;11.2;27
71;251;7;11;31;91;345;375;30;12.0;65
72;250;6;11;101;31;348;380;32;13.8;68
73;532;9;43;31;64;349;369;20;8.0;6
74;617;5;62;5;5;350;384;34;13.8;2
75;642;7;70;18;91;352;367;15;7.5;9
76;531;8;43;64;31;353;373;20;7.5;25
77;349;8;27;70;59;355;388;33;15.5;78
78;127;11;10;31;91;355;375;20;8.9;17
79;641;6;70;91;59;357;377;20;9.0;48
80;399;13;30;59;10;358;381;23;9.0;10
81;41;8;7;39;59;359;384;25;10.1;52
82;44;11;7;59;39;359;385;26;10.2;11
83;644;9;70;93;91;360;382;22;9.9;30
84;126;10;10;91;31;365;385;20;9.2;30
85;586;4;52;44;56;365;383;18;8.6;42
86;129;13;10;31;101;365;396;31;14.2;60
87;401;15;30;59;10;368;391;23;9.0;27
88;534;11;43;31;64;369;389;20;8.0;29
89;298;4;12;24;56;370;394;24;10.8;43
90;324;4;13;43;56;371;398;27;11.8;47
91;396;10;30;10;59;371;392;21;8.5;98
92;643;8;70;91;59;372;392;20;9.0;57
93;533;10;43;64;31;373;393;20;7.5;37
94;43;10;7;39;59;374;402;28;12.9;82
95;253;9;11;31;91;375;405;30;12.0;112
96;351;10;27;70;59;375;412;37;18.3;64
97;587;5;52;69;29;375;390;15;6.9;17
98;352;11;27;59;70;377;410;33;15.5;29
99;646;11;70;59;91;377;397;20;9.0;34
100;46;13;7;59;89;379;402;23;9.0;7
